Test Name,Realm,Group By,Statistic,Data Set Type,Aggregation Unit,MyISAM Total Time,MyISAM Start Transfer Time,InnoDB Total Time,InnoDB Start Transfer Time,Percent Change
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-cd,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Day,0.059955,0.05995,0.056255,0.056252,-6.171295138020185
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-cs,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Day,0.065416,0.065412,0.061219,0.061216,-6.4158615629203855
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-pi,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Day,0.072476,0.072471,0.06599,0.065987,-8.949169380208629
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-public,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Day,0.063708,0.063705,0.056681,0.056678,-11.030011929428014
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-usr,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Day,0.064494,0.06449,0.062833,0.062812,-2.575433373647155
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-cd,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Month,0.054685,0.054678,0.054151,0.054148,-0.9765017829386482
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-cs,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Month,0.057503,0.057499,0.05974,0.059736,3.8902318139923184
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-pi,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Month,0.066917,0.06691,0.064955,0.064952,-2.931990376137611
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-public,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Month,0.058543,0.05854,0.056729,0.056725,-3.0985771142578895
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-usr,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Month,0.06179,0.061786,0.061465,0.061462,-0.5259750768732787
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-cd,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Quarter,0.05329,0.053286,0.063299,0.063296,18.782135485081625
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-cs,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Quarter,0.058469,0.058466,0.058576,0.058572,0.1830029588328908
