Test Name,MyISAM Total Time,MyISAM Start Transfer Time,,InnoDB Total Time,InnoDB Start Transfer Time
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-cd,0.059955,0.05995,,0.056255,0.056252
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-cs,0.065416,0.065412,,0.061219,0.061216
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-pi,0.072476,0.072471,,0.06599,0.065987
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-public,0.063708,0.063705,,0.056681,0.056678
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-usr,0.064494,0.06449,,0.062833,0.062812
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-cd,0.054685,0.054678,,0.054151,0.054148
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-cs,0.057503,0.057499,,0.05974,0.059736
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-pi,0.066917,0.06691,,0.064955,0.064952
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-public,0.058543,0.05854,,0.056729,0.056725
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-usr,0.06179,0.061786,,0.061465,0.061462
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-cd,0.05329,0.053286,,0.063299,0.063296
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-cs,0.058469,0.058466,,0.058576,0.058572
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-pi,0.065284,0.065278,,0.065509,0.065505
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-public,0.058316,0.058313,,0.056183,0.05618
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-usr,0.060608,0.060605,,0.060104,0.0601
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Year-cd,0.057167,0.057163,,0.060426,0.060422
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Year-cs,0.059904,0.0599,,0.055449,0.055446
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Year-pi,0.067309,0.067305,,0.06456,0.064556
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Year-public,0.058608,0.058604,,0.05633,0.056289
